sectors,  Return on Equity %,Annual EPS, unlevered Free Cash Flow annual change,  Dividend per Share,  Net Income Margin %,CPI index,GDP,10-year treasury,direction
Automotive,0,1.66,14.90%,0,5.10%,221.3358333,150,149.9205273,small up
Automotive,280.30%,4.94,3.80%,0,14.90%,225.0064167,155,155.425811,big down
Automotive,35.80%,1.41,-1.90%,0,4.20%,229.7568333,162,161.9700735,big up
Automotive,55.80%,2.94,1.90%,100.00%,8.10%,233.8104167,168,167.848492,small up
Automotive,4.80%,0.31,-0.70%,25.00%,0.90%,237.9023333,175,175.271637,big down
Automotive,27.50%,1.84,29.90%,20.00%,4.90%,242.2575,182,182.3830057,big down
Automotive,15.90%,1.15,6.40%,0.00%,3.00%,247.6035833,187,187.4507569,big down
Automotive,23.90%,1.93,0.10%,0.00%,4.90%,252.1525,195,195.4297918,big down
Automotive,10.30%,0.92,2.90%,0.00%,2.30%,257.5615,206,206.1186093,big down
Automotive,0.20%,0.01,2.60%,0.00%,0.00%,263.2050833,214,214.332247,big down
Automotive,-4.00%,-0.32,3.30%,-75.00%,-1.00%,267.6983333,210,209.5303,big up
Automotive,19.70%,56.62,7.40%,0,4.60%,221.3358333,150,149.9205273,big down
Automotive,24.40%,2.89,7.80%,0,6.10%,225.0064167,155,155.425811,big down
Automotive,16.10%,4.58,-6.30%,0,4.10%,229.7568333,162,161.9700735,big up
Automotive,13.30%,2.92,-0.40%,0,3.40%,233.8104167,168,167.848492,small up
Automotive,10.10%,2.38,-3.10%,0,2.50%,237.9023333,175,175.271637,small down
Automotive,25.10%,1.65,3.50%,15.00%,7.10%,242.2575,182,182.3830057,big down
Automotive,22.00%,5.91,-1.80%,10.10%,6.30%,247.6035833,187,187.4507569,big up
Automotive,0.80%,6,-9.00%,0.00%,-2.70%,252.1525,195,195.4297918,small up
Automotive,20.40%,-2.6,-3.30%,0.00%,5.40%,257.5615,206,206.1186093,small down
Automotive,15.00%,5.53,-4.50%,0.00%,4.90%,263.2050833,214,214.332247,big down
Automotive,13.20%,4.57,-6.90%,-75.00%,5.20%,267.6983333,210,209.5303,big up
Automotive,2.30%,1.44,0.10%,-55.00%,1.10%,221.3358333,150,149.9205273,small up
Automotive,4.30%,3.14,-1.60%,11.10%,2.10%,225.0064167,155,155.425811,small up
Automotive,3.40%,2.2,-2.20%,0.00%,1.50%,229.7568333,162,161.9700735,big up
Automotive,9.10%,6.46,0.80%,80.00%,4.40%,233.8104167,168,167.848492,small down
Automotive,14.20%,11.5,3.20%,83.30%,7.10%,237.9023333,175,175.271637,big up
Automotive,14.00%,12.52,0.20%,21.20%,8.00%,242.2575,182,182.3830057,big down
Automotive,13.80%,12.31,-2.70%,5.00%,8.10%,247.6035833,187,187.4507569,small up
Automotive,10.80%,11.15,3.30%,0.00%,6.60%,252.1525,195,195.4297918,big up
Automotive,13.80%,14.99,0.10%,4.80%,8.50%,257.5615,206,206.1186093,small up
Automotive,10.10%,11.61,-1.60%,0.00%,6.20%,263.2050833,214,214.332247,small up
Automotive,10.20%,13.42,-37.90%,0.00%,6.80%,267.6983333,210,209.5303,big up
Utilities,9.00%,2.53,7.60%,2.10%,8.40%,221.3358333,150,149.9205273,big up
Utilities,11.10%,4.02,7.80%,6.20%,12.80%,225.0064167,155,155.425811,big up
Utilities,8.40%,2.6,2.00%,4.90%,8.40%,229.7568333,162,161.9700735,big up
Utilities,9.40%,3.04,0.00%,2.70%,10.00%,233.8104167,168,167.848492,big up
Utilities,9.70%,3.34,-2.10%,3.90%,10.00%,237.9023333,175,175.271637,big up
Utilities,10.20%,4.17,1.10%,5.00%,12.40%,242.2575,182,182.3830057,big up
Utilities,3.50%,1.24,-14.60%,5.70%,3.70%,247.6035833,187,187.4507569,big up
Utilities,10.80%,3.88,0.40%,5.40%,12.40%,252.1525,195,195.4297918,small up
Utilities,10.30%,3.9,-12.80%,5.60%,11.90%,257.5615,206,206.1186093,big up
Utilities,9.80%,3.88,-7.40%,6.50%,12.30%,263.2050833,214,214.332247,small down
Utilities,10.80%,4.42,-14.90%,5.90%,14.70%,267.6983333,210,209.5303,small down
Utilities,5.90%,3,-6.10%,3.20%,9.40%,221.3358333,150,149.9205273,big up
Utilities,7.50%,3.83,-4.10%,2.10%,12.00%,225.0064167,155,155.425811,big up
Utilities,5.00%,3.07,-9.40%,2.00%,10.10%,229.7568333,162,161.9700735,big up
Utilities,6.30%,3.76,2.00%,2.00%,12.00%,233.8104167,168,167.848492,big up
Utilities,6.20%,2.66,4.10%,1.90%,8.60%,237.9023333,175,175.271637,small down
Utilities,6.60%,4.05,7.00%,2.90%,12.80%,242.2575,182,182.3830057,big up
Utilities,6.40%,3.11,4.50%,3.70%,9.60%,247.6035833,187,187.4507569,big up
Utilities,7.40%,4.36,-1.50%,3.90%,13.20%,252.1525,195,195.4297918,small down
Utilities,6.10%,3.76,-5.40%,4.30%,11.10%,257.5615,206,206.1186093,big up
Utilities,7.80%,5.06,-7.40%,3.00%,15.20%,263.2050833,214,214.332247,small down
Utilities,2.20%,1.72,1.10%,1.90%,5.90%,267.6983333,210,209.5303,big up
Utilities,14.00%,5.51,-2.50%,23.10%,13.30%,221.3358333,150,149.9205273,small up
Utilities,8.70%,3.48,-24.60%,25.00%,8.90%,225.0064167,155,155.425811,big up
Utilities,9.60%,4.01,-4.00%,5.00%,9.50%,229.7568333,162,161.9700735,big up
Utilities,10.50%,4.63,-12.30%,4.80%,10.50%,233.8104167,168,167.848492,big up
Utilities,11.70%,5.37,6.30%,6.10%,13.20%,237.9023333,175,175.271637,small up
Utilities,10.90%,5.46,-19.60%,7.90%,13.50%,242.2575,182,182.3830057,small up
Utilities,2.50%,1.01,-8.30%,8.90%,2.70%,247.6035833,187,187.4507569,big up
Utilities,5.40%,3.42,-9.50%,8.80%,10.40%,252.1525,195,195.4297918,small down
Utilities,9.70%,7.29,0.10%,8.10%,20.30%,257.5615,206,206.1186093,big up
Utilities,9.60%,12.88,-11.10%,8.00%,34.60%,263.2050833,214,214.332247,small down
Real estate,2.60%,-0.03,0,0,6.40%,267.6983333,210,209.5303,small up
Real estate,2.00%,-0.05,0,0,8.40%,221.3358333,150,149.9205273,big up
Real estate,1.40%,-0.07,0,66.70%,4.40%,225.0064167,155,155.425811,big up
Real estate,2.10%,-0.21,0,40.00%,-4.80%,229.7568333,162,161.9700735,big up
Real estate,4.70%,0.14,0,28.60%,5.10%,233.8104167,168,167.848492,big up
Real estate,2.00%,0.66,0,33.30%,12.10%,237.9023333,175,175.271637,small up
Real estate,2.90%,0.01,12.50%,16.70%,0.80%,242.2575,182,182.3830057,big down
Real estate,7.00%,0.83,-21.90%,25.00%,12.20%,247.6035833,187,187.4507569,small down
Real estate,14.10%,1.04,-12.10%,11.40%,18.30%,252.1525,195,195.4297918,small down
Real estate,20.40%,1.58,-24.70%,9.00%,35.40%,257.5615,206,206.1186093,big up
Real estate,6.40%,0.66,-28.90%,3.50%,22.00%,263.2050833,214,214.332247,big down
Real estate,19.40%,2.24,73.60%,2.30%,52.30%,267.6983333,210,209.5303,big up
Real estate,10.00%,3.7,-83.00%,50.00%,4.60%,221.3358333,150,149.9205273,big up
Real estate,11.30%,4.63,199.20%,33.30%,5.30%,225.0064167,155,155.425811,big down
Real estate,13.00%,5.98,-3.70%,10.00%,6.00%,229.7568333,162,161.9700735,big up
Real estate,16.70%,8.52,80.10%,9.10%,7.10%,233.8104167,168,167.848492,big up
Real estate,17.30%,9.65,-94.30%,16.70%,7.40%,237.9023333,175,175.271637,big up
Real estate,12.50%,7.23,0,14.30%,4.80%,242.2575,182,182.3830057,big down
Real estate,9.00%,6.03,0,12.50%,3.50%,247.6035833,187,187.4507569,big up
Real estate,13.80%,10.54,-31.40%,13.90%,5.30%,252.1525,195,195.4297918,big up
Real estate,12.00%,10.87,-54.20%,4.90%,5.30%,257.5615,206,206.1186093,big down
Real estate,7.80%,7.7,0,0,4.50%,263.2050833,214,214.332247,big down
Real estate,15.90%,18.47,0,0,8.70%,267.6983333,210,209.5303,big up
Real estate,2.80%,0.06,0,0,5.80%,221.3358333,150,149.9205273,big up
Real estate,1.30%,0.04,87.90%,0,2.80%,225.0064167,155,155.425811,big up
Real estate,3.40%,0.11,42.10%,0,6.70%,229.7568333,162,161.9700735,big up
Real estate,3.70%,0.15,28.50%,0,7.80%,233.8104167,168,167.848492,big up
Real estate,-0.20%,-0.01,5.50%,0,-0.50%,237.9023333,175,175.271637,big up
Real estate,5.30%,0.26,41.10%,0,10.20%,242.2575,182,182.3830057,small up
Real estate,5.70%,0.37,11.90%,0,12.70%,247.6035833,187,187.4507569,big up
Real estate,8.40%,0.65,44.80%,0,20.00%,252.1525,195,195.4297918,big up
Real estate,9.80%,0.86,33.50%,0,22.50%,257.5615,206,206.1186093,big up
Real estate,5.20%,0.59,11.40%,0,13.70%,263.2050833,214,214.332247,big up
Real estate,5.30%,0.74,-5.40%,0,15.00%,267.6983333,210,209.5303,big up
Tech,35.28%,0.55,19.20%,0,21.48%,221.3358333,150,149.9205273,big up
Tech,41.67%,0.99,19.32%,0,23.95%,225.0064167,155,155.425811,big up
Tech,42.84%,1.58,19.95%,0,26.67%,229.7568333,162,161.9700735,big down
Tech,30.64%,1.42,18.43%,331.60%,21.67%,233.8104167,168,167.848492,big up
Tech,33.61%,1.61,20.03%,11.00%,21.61%,237.9023333,175,175.271637,big up
Tech,46.24%,2.31,24.10%,8.80%,22.85%,242.2575,182,182.3830057,big down
Tech,36.90%,2.08,20.85%,10.10%,21.19%,247.6035833,187,187.4507569,big up
Tech,36.87%,2.3,17.92%,10.10%,21.09%,252.1525,195,195.4297918,big up
Tech,49.36%,2.98,18.64%,13.30%,22.41%,257.5615,206,206.1186093,big up
Tech,55.92%,2.97,17.35%,10.30%,21.24%,263.2050833,214,214.332247,big up
Tech,73.69%,3.28,22.65%,6.00%,20.91%,267.6983333,210,209.5303,big up
Tech,43.76%,2.32,31.30%,0,30.02%,221.3358333,150,149.9205273,small down
Tech,44.84%,2.75,25.21%,23.10%,33.09%,225.0064167,155,155.425811,big up
Tech,27.51%,1.85,32.37%,25%,23.03%,229.7568333,162,161.9700735,big up
Tech,30.09%,2.67,25.65%,15.00%,28.08%,233.8104167,168,167.848492,big up
Tech,26.17%,2.55,27.79%,21.70%,25.42%,237.9023333,175,175.271637,big up
Tech,14.36%,1.55,22.88%,10.70%,13.03%,242.2575,182,182.3830057,big up
Tech,27.01%,2.67,23.16%,16.10%,22.53%,247.6035833,187,187.4507569,big up
Tech,31.92%,3.37,16.62%,8.30%,26.40%,252.1525,195,195.4297918,big up
Tech,19.45%,2.43,24.23%,7.70%,15.02%,257.5615,206,206.1186093,big up
Tech,42.41%,5.3,25.91%,9.50%,31.18%,263.2050833,214,214.332247,big up
Tech,42.41%,6.2,25.17%,10.90%,30.96%,267.6983333,210,209.5303,big up
Tech,19.01%,2.48,6.86%,0,3.37%,221.3358333,150,149.9205273,big up
Tech,8.63%,1.9,3.81%,0,1.31%,225.0064167,155,155.425811,big up
Tech,-0.49%,0.07,2.21%,0,-0.06%,229.7568333,162,161.9700735,big up
Tech,3.05%,0.29,3.87%,0,0.37%,233.8104167,168,167.848492,big up
Tech,-2.35%,-0.47,4.57%,0,-0.27%,237.9023333,175,175.271637,big up
Tech,4.94%,0.71,5.98%,0,0.56%,242.2575,182,182.3830057,big up
Tech,14.52%,4.38,7.40%,0,1.74%,247.6035833,187,187.4507569,big up
Tech,12.91%,3.93,5.61%,0,1.71%,252.1525,195,195.4297918,big up
Tech,28.27%,17.84,11.07%,0,4.33%,257.5615,206,206.1186093,big up
Tech,21.95%,22.59,7.09%,0,4.13%,263.2050833,214,214.332247,big up
Tech,27.44%,34.15,9.73%,0,5.53%,267.6983333,210,209.5303,big up