sectors,ROE,EPS,FCF,Dividend,Income,CPI index,GDP,10-year treasury,direction
0,0,1.66,0.15,0,0.05,221.34,150,149.92,0
0,2.8,4.94,0.04,0,0.15,225.01,155,155.43,1
0,0.36,1.41,-0.02,0,0.04,229.76,162,161.97,0
0,0.56,2.94,0.02,1,0.08,233.81,168,167.85,0
0,0.05,0.31,-0.01,0.25,0.01,237.9,175,175.27,1
0,0.28,1.84,0.3,0.2,0.05,242.26,182,182.38,1
0,0.16,1.15,0.06,0,0.03,247.6,187,187.45,1
0,0.24,1.93,0,0,0.05,252.15,195,195.43,1
0,0.1,0.92,0.03,0,0.02,257.56,206,206.12,1
0,0,0.01,0.03,0,0,263.21,214,214.33,1
0,-0.04,-0.32,0.03,-0.75,-0.01,267.7,210,209.53,0
0,0.2,56.62,0.07,0,0.05,221.34,150,149.92,1
0,0.24,2.89,0.08,0,0.06,225.01,155,155.43,1
0,0.16,4.58,-0.06,0,0.04,229.76,162,161.97,0
0,0.13,2.92,0,0,0.03,233.81,168,167.85,0
0,0.1,2.38,-0.03,0,0.03,237.9,175,175.27,1
0,0.25,1.65,0.04,0.15,0.07,242.26,182,182.38,1
0,0.22,5.91,-0.02,0.1,0.06,247.6,187,187.45,0
0,0.01,6,-0.09,0,-0.03,252.15,195,195.43,0
0,0.2,-2.6,-0.03,0,0.05,257.56,206,206.12,1
0,0.15,5.53,-0.05,0,0.05,263.21,214,214.33,1
0,0.13,4.57,-0.07,-0.75,0.05,267.7,210,209.53,0
0,0.02,1.44,0,-0.55,0.01,221.34,150,149.92,0
0,0.04,3.14,-0.02,0.11,0.02,225.01,155,155.43,0
0,0.03,2.2,-0.02,0,0.02,229.76,162,161.97,0
0,0.09,6.46,0.01,0.8,0.04,233.81,168,167.85,1
0,0.14,11.5,0.03,0.83,0.07,237.9,175,175.27,0
0,0.14,12.52,0,0.21,0.08,242.26,182,182.38,1
0,0.14,12.31,-0.03,0.05,0.08,247.6,187,187.45,0
0,0.11,11.15,0.03,0,0.07,252.15,195,195.43,0
0,0.14,14.99,0,0.05,0.09,257.56,206,206.12,0
0,0.1,11.61,-0.02,0,0.06,263.21,214,214.33,0
0,0.1,13.42,-0.38,0,0.07,267.7,210,209.53,0
1,0.09,2.53,0.08,0.02,0.08,221.34,150,149.92,0
1,0.11,4.02,0.08,0.06,0.13,225.01,155,155.43,0
1,0.08,2.6,0.02,0.05,0.08,229.76,162,161.97,0
1,0.09,3.04,0,0.03,0.1,233.81,168,167.85,0
1,0.1,3.34,-0.02,0.04,0.1,237.9,175,175.27,0
1,0.1,4.17,0.01,0.05,0.12,242.26,182,182.38,0
1,0.04,1.24,-0.15,0.06,0.04,247.6,187,187.45,0
1,0.11,3.88,0,0.05,0.12,252.15,195,195.43,0
1,0.1,3.9,-0.13,0.06,0.12,257.56,206,206.12,0
1,0.1,3.88,-0.07,0.07,0.12,263.21,214,214.33,1
1,0.11,4.42,-0.15,0.06,0.15,267.7,210,209.53,1
1,0.06,3,-0.06,0.03,0.09,221.34,150,149.92,0
1,0.08,3.83,-0.04,0.02,0.12,225.01,155,155.43,0
1,0.05,3.07,-0.09,0.02,0.1,229.76,162,161.97,0
1,0.06,3.76,0.02,0.02,0.12,233.81,168,167.85,0
1,0.06,2.66,0.04,0.02,0.09,237.9,175,175.27,1
1,0.07,4.05,0.07,0.03,0.13,242.26,182,182.38,0
1,0.06,3.11,0.05,0.04,0.1,247.6,187,187.45,0
1,0.07,4.36,-0.02,0.04,0.13,252.15,195,195.43,1
1,0.06,3.76,-0.05,0.04,0.11,257.56,206,206.12,0
1,0.08,5.06,-0.07,0.03,0.15,263.21,214,214.33,1
1,0.02,1.72,0.01,0.02,0.06,267.7,210,209.53,0
1,0.14,5.51,-0.03,0.23,0.13,221.34,150,149.92,0
1,0.09,3.48,-0.25,0.25,0.09,225.01,155,155.43,0
1,0.1,4.01,-0.04,0.05,0.1,229.76,162,161.97,0
1,0.11,4.63,-0.12,0.05,0.11,233.81,168,167.85,0
1,0.12,5.37,0.06,0.06,0.13,237.9,175,175.27,0
1,0.11,5.46,-0.2,0.08,0.14,242.26,182,182.38,0
1,0.03,1.01,-0.08,0.09,0.03,247.6,187,187.45,0
1,0.05,3.42,-0.1,0.09,0.1,252.15,195,195.43,1
1,0.1,7.29,0,0.08,0.2,257.56,206,206.12,0
1,0.1,12.88,-0.11,0.08,0.35,263.21,214,214.33,1
2,0.03,-0.03,0,0,0.06,267.7,210,209.53,0
2,0.02,-0.05,0,0.12,0.08,221.34,150,149.92,0
2,0.01,-0.07,0,0.2,0.04,225.01,155,155.43,0
2,0.02,-0.21,0,0.28,-0.05,229.76,162,161.97,0
2,0.05,0.14,0,0.36,0.05,233.81,168,167.85,0
2,0.02,0.66,0,0.48,0.12,237.9,175,175.27,0
2,0.03,0.01,0.13,0.56,0.01,242.26,182,182.38,1
2,0.07,0.83,-0.22,0.7,0.12,247.6,187,187.45,1
2,0.14,1.04,-0.12,0.78,0.18,252.15,195,195.43,1
2,0.2,1.58,-0.25,0.85,0.35,257.56,206,206.12,0
2,0.06,0.66,-0.29,0.88,0.22,263.21,214,214.33,1
2,0.19,2.24,0.74,0.9,0.52,267.7,210,209.53,0
2,0.1,3.7,-0.83,0.2,0.05,221.34,150,149.92,0
2,0.11,4.63,1.99,0.3,0.05,225.01,155,155.43,1
2,0.13,5.98,-0.04,0.4,0.06,229.76,162,161.97,0
2,0.17,8.52,0.8,0.44,0.07,233.81,168,167.85,0
2,0.17,9.65,-0.94,0.48,0.07,237.9,175,175.27,0
2,0.13,7.23,0,0.56,0.05,242.26,182,182.38,1
2,0.09,6.03,0,0.64,0.04,247.6,187,187.45,0
2,0.14,10.54,-0.31,0.72,0.03,252.15,195,195.43,0
2,0.12,10.87,-0.54,0.82,0.05,257.56,206,206.12,1
2,0.08,7.7,0,0,0.05,263.21,214,214.33,1
2,0.16,18.47,0,0,0.09,267.7,210,209.53,0
2,0.03,0.06,0,0,0.06,221.34,150,149.92,0
2,0.01,0.04,0.88,0,0.03,225.01,155,155.43,0
2,0.03,0.11,0.42,0,0.07,229.76,162,161.97,0
2,0.04,0.15,0.29,0,0.08,233.81,168,167.85,0
2,0,-0.01,0.06,0,-0.01,237.9,175,175.27,0
2,0.05,0.26,0.41,0,0.1,242.26,182,182.38,0
2,0.06,0.37,0.12,0,0.13,247.6,187,187.45,0
2,0.08,0.65,0.45,0,0.2,252.15,195,195.43,0
2,0.1,0.86,0.34,0,0.23,257.56,206,206.12,0
2,0.05,0.59,0.11,0,0.14,263.21,214,214.33,0
2,0.05,0.74,-0.05,0,0.15,267.7,210,209.53,0
3,0.35,0.55,0.19,0,0.21,221.34,150,149.92,0
3,0.42,0.99,0.19,0,0.24,225.01,155,155.43,0
3,0.43,1.58,0.2,0,0.27,229.76,162,161.97,1
3,0.31,1.42,0.18,3.32,0.22,233.81,168,167.85,0
3,0.34,1.61,0.2,0.11,0.22,237.9,175,175.27,0
3,0.46,2.31,0.24,0.09,0.23,242.26,182,182.38,1
3,0.37,2.08,0.21,0.1,0.21,247.6,187,187.45,0
3,0.37,2.3,0.18,0.1,0.21,252.15,195,195.43,0
3,0.49,2.98,0.19,0.13,0.22,257.56,206,206.12,0
3,0.56,2.97,0.17,0.1,0.21,263.21,214,214.33,0
3,0.74,3.28,0.23,0.06,0.21,267.7,210,209.53,0
3,0.44,2.32,0.31,0,0.3,221.34,150,149.92,1
3,0.45,2.75,0.25,0.23,0.33,225.01,155,155.43,0
3,0.28,1.85,0.32,0.25,0.23,229.76,162,161.97,0
3,0.3,2.67,0.26,0.15,0.28,233.81,168,167.85,0
3,0.26,2.55,0.28,0.22,0.25,237.9,175,175.27,0
3,0.14,1.55,0.23,0.11,0.13,242.26,182,182.38,0
3,0.27,2.67,0.23,0.16,0.23,247.6,187,187.45,0
3,0.32,3.37,0.17,0.08,0.26,252.15,195,195.43,0
3,0.19,2.43,0.24,0.08,0.15,257.56,206,206.12,0
3,0.42,5.3,0.26,0.1,0.31,263.21,214,214.33,0
3,0.42,6.2,0.25,0.11,0.31,267.7,210,209.53,0
3,0.19,2.48,0.07,0,0.03,221.34,150,149.92,0
3,0.09,1.9,0.04,0,0.01,225.01,155,155.43,0
3,0,0.07,0.02,0,0,229.76,162,161.97,0
3,0.03,0.29,0.04,0,0,233.81,168,167.85,0
3,-0.02,-0.47,0.05,0,0,237.9,175,175.27,0
3,0.05,0.71,0.06,0,0.01,242.26,182,182.38,0
3,0.15,4.38,0.07,0,0.02,247.6,187,187.45,0
3,0.13,3.93,0.06,0,0.02,252.15,195,195.43,0
3,0.28,17.84,0.11,0,0.04,257.56,206,206.12,0
3,0.22,22.59,0.07,0,0.04,263.21,214,214.33,0
3,0.27,34.15,0.1,0,0.06,267.7,210,209.53,0